study_id,title,subtitle,country,authors,year,url_page,url_pdf,filename,status,size_bytes,size_mb,scraped_at
DAIO Study 24|25,"Heavy Thunder, No Rain",Defense AI in Iran,Iran,Mahmoud Javadi,2024,https://defenseai.eu/daio_study2425_heavy_thunder_no_rain_mahmoud_javadi,https://defenseai.eu/wp-content/uploads/2024/03/daio_study2425_heavy_thunder_no_rain_mahmoud_javadi.pdf,daio_study2425_heavy_thunder_no_rain_mahmoud_javadi.pdf,200,2038308,1.94,2026-06-03T19:19:16.970244Z
DAIO Study 24|24,Intelligent National Defense Amid Strategic Ambiguity?,Defense AI in Taiwan,Taiwan,Kitsch Liao 2024,2024,https://www.defenseai.eu/daio_study2424_intelligent_national_defense_amid_strategic_ambiguity_kitsch_liao,https://defenseai.eu/wp-content/uploads/2024/03/daio_study2424_intelligent_national_defense_amid_strategic_ambiguity_kitsch_liao.pdf,daio_study2424_intelligent_national_defense_amid_strategic_ambiguity_kitsch_liao.pdf,200,1174092,1.12,2026-06-03T19:19:45.711740Z
DAIO Study 24|23,Overcoming the Long Shadow of the Past,Defense AI in Japan,Japan,Motohiro Tsuchiya 2024,2024,https://www.defenseai.eu/daio_study2423_overcoming_the_long_shadow_of_the_past_motohiro_tsuchiya,https://defenseai.eu/wp-content/uploads/2024/02/daio_study2423_overcoming_the_long_shadow_of_the_past_motohiro_tsuchiya.pdf,daio_study2423_overcoming_the_long_shadow_of_the_past_motohiro_tsuchiya.pdf,200,1040844,0.99,2026-06-03T19:20:12.415261Z
DAIO Study 24|22,Survival of the Smartest?,Defense AI in Ukraine,Ukraine,Vitaliy Goncharuk 2024,2024,https://www.defenseai.eu/daio_study2422_survival_of_the_smartest_vitaliy_goncharuk,https://defenseai.eu/wp-content/uploads/2024/02/daio_study2422_survival_of_the_smartest_vitaliy_goncharuk.pdf,daio_study2422_survival_of_the_smartest_vitaliy_goncharuk.pdf,200,979024,0.93,2026-06-03T19:20:17.771669Z
DAIO Study 24|21,Will the One Ring Hold?,Defense AI in South Korea,South Korea,Youngwook Park 2024,2024,https://defenseai.eu/daio_study2421_will_the_one_ring_hold_youngwook_park,https://defenseai.eu/wp-content/uploads/2024/02/daio_study2421_will_the_one_ring_hold_youngwook_park.pdf,daio_study2421_will_the_one_ring_hold_youngwook_park.pdf,200,975992,0.93,2026-06-03T19:20:23.586996Z
DAIO Study 23|20,Caught Between Today and Tomorrow,Defence AI in Estonia,Estonia,Tomas Jermalavičius 2023,2023,https://www.defenseai.eu/daio_study2320_caught_between_today_and_tomorrow_tomas_jermalivicius,,,no_url,0,0.0,2026-06-03T19:16:04.157900Z
DAIO Study 23|19,Harnessing the Potential,Defense AI in Greece,Greece,"Nikolaos Karampekios, Konstantinos Sakalis, and Iraklis Oikonomou 2023",2023,https://defenseai.eu/daio_study2319_harnessing_the_potential_karampekios_sakalis_oikonomou,https://defenseai.eu/wp-content/uploads/2023/11/daio_study2319_harnessing_the_potential_karampekios_sakalis_oikonomou.pdf,daio_study2319_harnessing_the_potential_karampekios_sakalis_oikonomou.pdf,200,1048550,1.0,2026-06-03T19:20:38.840878Z
DAIO Study 23|18,Servers Before Tanks?,Defence AI in Denmark,Denmark,Andreas Graae 2023,2023,https://defenseai.eu/daio_study2318_servers_before_tanks_andreas_graae,https://defenseai.eu/wp-content/uploads/2023/11/daio_study2318_servers_before_tanks_andreas_graae.pdf,daio_study2318_servers_before_tanks_andreas_graae.pdf,200,1999372,1.91,2026-06-03T19:20:47.062347Z
DAIO Study 23|17,A Winding Road Before Scaling-Up?,Defense AI in France,France,Kévin Martin and Lucie Liversain 2023,2023,https://defenseai.eu/daio_study2317_a_winding_road_before_scaling-up_kevin_martin_lucie_liversain,https://defenseai.eu/wp-content/uploads/2023/09/daio_study2317_a_winding_road_before_scaling-up_kevin_martin_lucie_liversain.pdf,daio_study2317_a_winding_road_before_scaling-up_kevin_martin_lucie_liversain.pdf,200,1784167,1.7,2026-06-03T19:21:02.148599Z
DAIO Study 23|16,Cautious Data-Driven Evolution,Defense AI in Finland,Finland,Sami O. Järvinen 2023,2023,https://defenseai.eu/daio_study2316_cautious_data-driven_evolution_sami_jaervinen,https://defenseai.eu/wp-content/uploads/2023/07/daio_study2316_cautious_data-driven_evolution_sami_jaervinen.pdf,daio_study2316_cautious_data-driven_evolution_sami_jaervinen.pdf,200,1085181,1.03,2026-06-03T19:21:10.894954Z
DAIO Study 23|15,Embracing the Organized Mess,Defense AI in Israel,Israel,Inbar Dolinko and Liran Antebi 2023,2023,https://defenseai.eu/daio_study2315_embracing_the_organized_mess_dolinko_antebi,https://defenseai.eu/wp-content/uploads/2023/06/daio_study2315_embracing_the_organized_mess_dolinko_antebi.pdf,daio_study2315_embracing_the_organized_mess_dolinko_antebi.pdf,200,987059,0.94,2026-06-03T19:21:17.259581Z
DAIO Study 23|14,A Fertile Soil for AI?,Defense AI in Sweden,Sweden,Alastair Finlan 2023,2023,https://defenseai.eu/daio_study2314_a_fertile_soil_for_ai_alastair_finlan,https://defenseai.eu/wp-content/uploads/2023/05/daio_study2314_a_fertile_soil_for_ai_alastair_finlan.pdf,daio_study2314_a_fertile_soil_for_ai_alastair_finlan.pdf,200,997203,0.95,2026-06-03T19:21:27.429587Z
DAIO Study 23|13,“Overtaking on the Curve?”,Defense AI in China,China,John Lee 2023,2023,https://defenseai.eu/daio_study2313_overtaking_on_the_curve_john_lee,https://defenseai.eu/wp-content/uploads/2023/04/daio_study2313_overtaking_on_the_curve_john_lee.pdf,daio_study2313_overtaking_on_the_curve_john_lee.pdf,200,1105482,1.05,2026-06-03T19:21:34.535733Z
DAIO Study 23|12,Master and ­Servant,Defense AI in Germany,Germany,"Heiko Borchert, Torben Schütz, Joseph Verbovszky 2023",2023,https://defenseai.eu/daio_study2312_master_and_servant_borchert_schuetz_verbovszky,https://defenseai.eu/wp-content/uploads/2023/03/daio_study2312_master_and_servant_borchert_schuetz_verbovszky.pdf,daio_study2312_master_and_servant_borchert_schuetz_verbovszky.pdf,200,1491568,1.42,2026-06-03T19:21:42.236145Z
DAIO Study 23|11,High Hopes Amid Hard Realities,Defense AI in Russia,Russia,Katarzyna Zysk 2023,2023,https://defenseai.eu/daio_study2311,https://defenseai.eu/wp-content/uploads/2023/02/DAIO_Study2311.pdf,DAIO_Study2311.pdf,200,1440801,1.37,2026-06-03T19:21:49.592774Z
DAIO Study 23|10,How AI Learns the Bundeswehr’s “Innere Führung”,,,Value-Based Engineering with IEEE7000™-2021,2023,https://defenseai.eu/daio_study2310,https://defenseai.eu/wp-content/uploads/2023/02/DAIO_Study2310.pdf,DAIO_Study2310.pdf,200,1409275,1.34,2026-06-03T19:22:01.109147Z
DAIO Study 23|09,When the Teeth Eat the Tail,,,A Review of Canada’s Defence Artificial Intelligence,2023,https://defenseai.eu/daio_study2309,https://defenseai.eu/wp-content/uploads/2023/02/DAIO_Study2309.pdf,DAIO_Study2309.pdf,200,1503073,1.43,2026-06-03T19:22:18.342018Z
DAIO Study 23|08,Enabling Technology of Future Warfare,,,Turkey’s Approach to Defense AI,2023,https://defenseai.eu/daio_study2308,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2308.pdf,DAIO_Study2308.pdf,200,1350018,1.29,2026-06-03T19:22:25.560968Z
DAIO Study 23|07,Risky Incrementalism,Defense AI in the United States,the United States,Lauren A. Kahn 2023,2023,https://defenseai.eu/daio_study2307,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2307.pdf,DAIO_Study2307.pdf,200,1022771,0.98,2026-06-03T19:22:30.473737Z
DAIO Study 22|06,Wie KI Innere Führung lernt,,,Wertebasierte Technik mit IEEE7000™-2021,2022,https://defenseai.eu/daio_study2206,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2206.pdf,DAIO_Study2206.pdf,200,1386242,1.32,2026-06-03T19:22:38.712271Z
DAIO Study 22|05,Exploring the Benefits of a New Force Enabler,Defense AI in Italy,Italy,"Andrea Gilli, Mauro Gilli, and Ivan Zaccagnini 2022",2022,https://defenseai.eu/daio_study2205,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2205.pdf,DAIO_Study2205.pdf,200,1367637,1.3,2026-06-03T19:22:47.334699Z
DAIO Study 22|04,Bright Prospects –,,,Big Challenges,2022,https://defenseai.eu/daio_study2204,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2204.pdf,DAIO_Study2204.pdf,200,1357778,1.29,2026-06-03T19:22:54.496227Z
DAIO Study 22|03,Free Jazz on the Battlefield,,,How GhostPlay’s AI Approach Enhances Air Defense,2022,https://defenseai.eu/daio_study2203,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2203.pdf,DAIO_Study2203.pdf,200,1481985,1.41,2026-06-03T19:23:00.775870Z
DAIO Study 22|02,Evolution not Revolution,,,Australia’s Defence AI Pathway,2022,https://defenseai.eu/daio_study2202,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Study2202.pdf,DAIO_Study2202.pdf,200,1384653,1.32,2026-06-03T19:23:17.517339Z
DAIO Study 21|01,Beware the Hype,,,"What Military Conflicts in Ukraine, Syria, Libya, and N­agorno-Karabakh (Don’t) Tell Us About the Future of War",2021,https://defenseai.eu/daio_beware_the_hype,https://defenseai.eu/wp-content/uploads/2023/01/DAIO_Beware_the_Hype.pdf,DAIO_Beware_the_Hype.pdf,200,1701583,1.62,2026-06-03T19:23:26.067583Z
